params,mean_test_score,rank_test_score
"{'C': 10.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.7661600863521361,1
"{'C': 10.0, 'gamma': 'auto', 'kernel': 'rbf'}",0.7659760033357735,2
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.7347467995782841,3
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.7347467995782841,3
"{'C': 1.0, 'gamma': 'auto', 'kernel': 'rbf'}",0.7211331227919789,5
"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.7202947085068626,6
"{'C': 1.0, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.7069886033470428,7
"{'C': 1.0, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.7057355541658988,8
"{'C': 10.0, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.6953992369395738,9
"{'C': 10.0, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.6928272659508237,10
"{'C': 10.0, 'gamma': 'auto', 'kernel': 'poly'}",0.6260700325559887,11
"{'C': 10.0, 'gamma': 'scale', 'kernel': 'poly'}",0.6214532658422629,12
"{'C': 1.0, 'gamma': 'scale', 'kernel': 'linear'}",0.5681877449481998,13
"{'C': 1.0, 'gamma': 'auto', 'kernel': 'linear'}",0.5681877449481998,13
"{'C': 10.0, 'gamma': 'auto', 'kernel': 'linear'}",0.5589812758952293,15
"{'C': 10.0, 'gamma': 'scale', 'kernel': 'linear'}",0.5589812758952293,15
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.55260964866621,17
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.5521740829304098,18
"{'C': 1.0, 'gamma': 'auto', 'kernel': 'poly'}",0.5452603508682462,19
"{'C': 1.0, 'gamma': 'scale', 'kernel': 'poly'}",0.5399685028700695,20
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.5237164658686082,21
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5224167322692242,22
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}",0.03953178926984172,23
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly'}",0.03715594670877996,24
